ResourceType,Account,Region,ResourceId,Name,PreviousState,NewState,Action,Timestamp,Status,Error,Details
EC2,current,ap-southeast-2,i-004f01a439f80ab66,VPN-Test,running,running,start,2025-06-27T03:45:45.925272,No Change Needed,,Environment: VPN-Test
EC2,current,ap-southeast-2,i-0509dcd40a6d931ab,PR,running,running,start,2025-06-27T03:45:45.925286,No Change Needed,,Environment: 
