ResourceType,Account,Region,ResourceId,Name,PreviousState,NewState,Action,Timestamp,Status,Error,Details
EC2,current,ap-southeast-2,i-004f01a439f80ab66,VPN-Test,running,stopped,stop,2025-06-27T03:45:52.673520,Would Change,,Environment: VPN-Test
EC2,current,ap-southeast-2,i-0509dcd40a6d931ab,PR,running,stopped,stop,2025-06-27T03:45:52.673536,Would Change,,Environment: 
