ResourceType,Account,Region,ResourceId,Name,PreviousState,NewState,Action,Timestamp,Status,Error,Details
EC2,example,ap-southeast-2,i-004f01a439f80ab66,VPN-Test,running,running,start,2025-06-26T23:51:44.497921,No Change Needed,,Environment: VPN-Test
EC2,example,ap-southeast-2,i-0509dcd40a6d931ab,PR,running,running,start,2025-06-26T23:51:44.497936,No Change Needed,,Environment: 
